source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
EGMA,0,math-instructions1,,,instructions,,,instructions,math-instructions1,,We are going to play some counting games and some number games. Are you ready?,,math,math_retest,egma-math,,,,,,,
Amy,0,math-intro1,,,instructions,,,instructions,math-intro1,,Here is the first section. Let's start with some practice!,,math,math_retest,egma-math,,,,,,,
EGMA,0,number-identification-1,1,1,Number Identification,"3,6,9",0.25,practice_response,math_identify_1,,Choose the number 1.,0,math,math_retest,egma-math,,,5000,-2.5,,,
Zach,0,number-identification-42,8,8,Number Identification,"2,5,9",0.25,practice_response,math_identify_8,,Choose the 8.,,math,math_retest,egma-math,,,5000,,,,
Zehra,0,number-identification-22,6,6,Number Identification,"9,15,5",0.25,test_response,math_identify_6,,Choose the 6.,,math,math_retest,egma-math,math_identify_6,,5000,-2.5,,,
Zehra,0,number-identification-23,14,14,Number Identification,"24,12,4",0.25,test_response,math_identify_14,,Choose the 14.,,math,math_retest,egma-math,math_identify_14,,5000,-2.5,,,
Zehra,0,number-identification-24,18,18,Number Identification,"9,17,16",0.25,test_response,math_identify_18,,Choose the 18.,,math,math_retest,egma-math,math_identify_18,,5000,-2.5,,,
EGMA,0,number-identification-7,22,22,Number Identification,"44,52,20",0.25,test_response,math_identify_22,,Choose the 22.,6,math,math_retest,egma-math,math_identify_22,,5000,-2.5,,,
Zehra,0,number-identification-25,26,26,Number Identification,"36,46,27",0.25,test_response,math_identify_26,,Choose the 26.,,math,math_retest,egma-math,math_identify_26,,5000,-2.5,,,
Zehra,0,number-identification-26,35,35,Number Identification,"25,40,30",0.25,test_response,math_identify_35,,Choose the 35.,,math,math_retest,egma-math,math_identify_35,,5000,-2.5,,,
Zehra,0,number-identification-27,41,41,Number Identification,"31,51,39",0.25,test_response,math_identify_41,,Choose the 41.,,math,math_retest,egma-math,math_identify_41,,5000,-2.5,,,
Zehra,0,number-identification-28,47,47,Number Identification,"74,37,17",0.25,test_response,math_identify_47,,Choose the 47.,,math,math_retest,egma-math,math_identify_47,,5000,-2.5,,,
Zehra,0,number-identification-29,50,50,Number Identification,"60,45,57",0.25,test_response,math_identify_50,,Choose the 50.,,math,math_retest,egma-math,math_identify_50,,5000,-2.5,,,
Zehra,0,number-identification-30,55,55,Number Identification,"65,50,58",0.25,test_response,math_identify_55,,Choose the 55.,,math,math_retest,egma-math,math_identify_55,,5000,-2.5,,,
Zehra,0,number-identification-31,66,66,Number Identification,"99,76,36",0.25,test_response,math_identify_66,,Choose the 66.,,math,math_retest,egma-math,math_identify_66,,5000,-2.5,,,
Zehra,0,number-identification-32,67,67,Number Identification,"63,27,23",0.25,test_response,math_identify_67,,Choose the 67.,,math,math_retest,egma-math,math_identify_67,,5000,-2.5,,,
