source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
EGMA,0,math-instructions1,,,instructions,,,instructions,math-instructions1,,We are going to play some counting games and some number games. Are you ready?,,math,math,egma-math,,,,,,,
Amy,0,math-intro1,,,instructions,,,instructions,math-intro1,,Here is the first section. Let's start with some practice!,,math,math,egma-math,,,,,,,
EGMA,0,number-identification-1,1,1,Number Identification,"3,6,9",0.25,practice_response,num-ident-1,,Choose the number you hear.,0,math,math,egma-math,,,5000,,,,
Zach,0,number-identification-42,8,8,Number Identification,"2,5,9",0.25,practice_response,num-ident-8,,Choose the 8.,,math,math,egma-math,,,5000,,,,
EGMA,0,number-identification-3,9,9,Number Identification,"0,8,3",0.25,test_response,num-ident-9,,Choose the number you hear.,2,math,math,egma-math,math_identify_9,,5000,-2.5,,,
EGMA,0,number-identification-4,0,0,Number Identification,"1,9,10",0.25,test_response,num-ident-0,,Choose the number you hear.,3,math,math,egma-math,math_identify_0,,5000,-2.5,,,
EGMA,0,number-identification-5,12,12,Number Identification,"6,11,21",0.25,test_response,num-ident-12,,Choose the number you hear.,4,math,math,egma-math,math_identify_12,,5000,-2.5,,,
EGMA,0,number-identification-6,30,30,Number Identification,"20,60,13",0.25,test_response,num-ident-30,,Choose the number you hear.,5,math,math,egma-math,math_identify_30,,5000,-2.5,,,
EGMA,0,number-identification-7,22,22,Number Identification,"44,52,20",0.25,test_response,num-ident-22,,Choose the number you hear.,6,math,math,egma-math,math_identify_22,,5000,-2.5,,,
EGMA,0,number-identification-8,45,45,Number Identification,"65,54,40",0.25,test_response,num-ident-45,,Choose the number you hear.,7,math,math,egma-math,math_identify_45,,5000,-2.5,,,
EGMA,0,number-identification-9,39,39,Number Identification,"29,38,79",0.25,test_response,num-ident-39,,Choose the number you hear.,8,math,math,egma-math,math_identify_39,,5000,-2.5,,,
EGMA,0,number-identification-10,23,23,Number Identification,"32,21,43",0.25,test_response,num-ident-23,,Choose the number you hear.,9,math,math,egma-math,math_identify_23,,5000,-2.5,,,
EGMA,0,number-identification-11,48,48,Number Identification,"58,40,84",0.25,test_response,num-ident-48,,Choose the number you hear.,10,math,math,egma-math,math_identify_48,,5000,-2.5,,,
EGMA,0,number-identification-12,91,91,Number Identification,"71,1,90",0.25,test_response,num-ident-91,,Choose the number you hear.,11,math,math,egma-math,math_identify_91,,5000,-2.5,,,
EGMA,0,number-identification-13,33,33,Number Identification,"30,43,23",0.25,test_response,num-ident-33,,Choose the number you hear.,12,math,math,egma-math,math_identify_33,,5000,-2.5,,,
EGMA,0,number-identification-14,74,74,Number Identification,"79,68,84",0.25,test_response,num-ident-74,,Choose the number you hear.,13,math,math,egma-math,math_identify_74,,5000,-2.5,,,
