source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
2d-rabbit,1,mental-rotation-prompt2,Rn-000,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,practice_response,Rn-000,,Choose the picture that matches this one.,2,Mental Rotation,mental-rotation,mental-rotation,,,5000,,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-000,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,practice_response,Rp-000,,Choose the matching picture.,3,Mental Rotation,mental-rotation,mental-rotation,,,5000,,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-020,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-020,,Choose the matching picture.,4,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_020,,5000,-3.014423659,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-040,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-040,,Choose the matching picture.,6,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_040,,5000,-3.369289518,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-040,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-040,,Choose the matching picture.,7,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_040,,5000,-3.772993789,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-020,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-020,,Choose the matching picture.,5,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_020,,5000,-3.18193782,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-080,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-080,,Choose the matching picture.,8,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_080,,5000,-1.928777582,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-120,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-120,,Choose the matching picture.,10,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_120,,5000,1.021258159,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-160,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-160,,Choose the matching picture.,12,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_160,,5000,1.225034777,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-120,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-120,,Choose the matching picture.,11,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_120,,5000,1.247897058,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-200,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-200,,Choose the matching picture.,14,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_200,,5000,2.767337738,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-160,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-160,,Choose the matching picture.,13,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_160,,5000,2.868868122,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-080,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-080,,Choose the matching picture.,9,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_080,,5000,0.501636235,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-120,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-120,,Choose the matching picture.,10,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_120,,5000,1.021258159,,,
2d-rabbit,1,mental-rotation-prompt1,Rp-160,Rp-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rp-160,,Choose the matching picture.,12,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_160,,5000,1.225034777,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-120,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-120,,Choose the matching picture.,11,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_120,,5000,1.247897058,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-160,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-160,,Choose the matching picture.,13,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_160,,5000,2.868868122,,,
2d-rabbit,1,mental-rotation-prompt1,Rn-200,Rn-000-silh,2D,"Rp-000-silh,Rn-000-silh",0.5,test_response,Rn-200,,Choose the matching picture.,15,Mental Rotation,mental-rotation,mental-rotation,mrot_2d_rabbit_200,,5000,3.322498825,,,
