source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
Modified ToM-battery,7,ToM-intro,,,instructions,,,instructions,ToM-intro,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,7,ToM-scene7-instruct1,7a,,instructions,,,instructions,ToM-scene7-instruct1,,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,7,ToM-scene7-instruct2,7b,,instructions,,,instructions,ToM-scene7-instruct2,,"But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,7,ToM-scene7-instruct3,7c,,instructions,,,instructions,ToM-scene7-instruct3,,So now it’s playtime and Diana wants her toy.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,7,ToM-scene7-q1-false_belief,7c,drawer,false_belief_question,desk,0.5,test_response,ToM-scene7-q1-false_belief,,Where will Diana look for her toy?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,7,ToM-scene7-q2-reality_check,7c,desk,reality_check_question,drawer,0.5,test_response,ToM-scene7-q2-reality_check,,And where is her toy really?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,8,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene8-instruct1,8a,,instructions,,,instructions,ToM-scene8-instruct1,,"This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene8-instruct2,8b,,instructions,,,instructions,ToM-scene8-instruct2,,"And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene8-instruct3,8c,,instructions,,,instructions,ToM-scene8-instruct3,,"Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene8-q1-false_belief,8d,top,false_belief_question,behind,0.5,test_response,ToM-scene8-q1-false_belief,,"Now, when Allie comes in from outside, where will she look first for her pencil?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,8,ToM-scene-8-instruct4,8e,,instructions,,,instructions,ToM-scene-8-instruct4,,"Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene-8-q2-emotion_reasoning,8f,angry,emotion_reasoning_question,"happy,calm,scared",0.25,test_response,ToM-scene-8-q2-emotion_reasoning,,How do you think Mike feels about Allie reaching for that pencil?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,8,ToM-scene-8-q3-emotion_reasoning,8f,calm,emotion_reasoning_question,"happy,angry,scared",0.25,test_response,ToM-scene-8-q3-emotion_reasoning,,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
